Species,corMxPA,AUC,TSS,beta,AUC.CV,TSS.CV
sa26,0.8479861,0.7291667,0.1778689,0.8964312,0.8292169,0.0301787
sa21,0.2480104,0.6929224,0.04481562,0.7054173,0.812273,0.003761161
sa16,0.4194197,0.8868243,0.04761673,1.091582,0.9819811,0.007569588
sa06,0.8645713,0.8866995,0.07692046,1.144979,0.9801769,0.007037504
sa11,0.6539067,0.7746698,0.07222016,1.159967,0.8812048,0.005549002
sa21,0.6197846,0.7141612,0.07473347,1.095894,0.7137584,0.003612942
sa01,0.3351385,0.7670455,0.1613385,0.9498704,0.8202479,0.01721839
sa26,0.6995037,0.766129,0.2467058,1.105167,0.8217165,0.03211993
sa16,0.251817,0.8502463,0.05888274,1.508875,0.9830657,0.006436114
sa06,0.3339379,0.6976351,0.002078872,0.8812164,0.9853444,0.006868229
sa11,0.4052612,0.9105903,0.1081059,1.25182,0.8544747,0.005584115
sa21,0.5684219,0.7421875,0.1315767,1.125798,0.7540383,0.003154264
sa16,0.5295869,0.9052511,0.07894521,1.274013,0.9797903,0.006116637
sa01,0.507982,0.7072496,0.09184693,0.6814213,0.8297276,0.01933056
sa06,0.683392,0.7272727,0.07918987,0.8276967,0.9817389,0.007234481
sa26,0.3160402,0.6315789,0.05277575,1.003899,0.8263244,0.02945379
sa21,0.6706255,0.8,0.1335207,1.272484,0.703463,0.003287377
sa12,0.9739524,0.9237473,0.1770803,1.346691,0.9131777,0.03288831
sa06,0.6749479,0.9270936,0.09459245,0.985964,0.9837991,0.007276704
sa16,0.04638708,0.8800676,0.06060415,1.086729,0.984176,0.006455857
sa01,0.496747,0.748951,0.1730512,0.8264618,0.8635065,0.02059802
sa26,0.5535808,0.7509269,0.1753144,1.144317,0.8019835,0.03071198
sa21,0.3725439,0.8001289,0.1020671,1.291719,0.6727613,0.002221326
sa12,0.9718258,0.8594697,0.1800565,1.367896,0.9106408,0.03445705
sa06,0.7156292,0.9156463,0.06666456,0.8142975,0.9841556,0.008024401
sa16,0.5289467,0.9330986,0.1333311,1.751645,0.9815803,0.006564004
sa01,0.5236544,0.7675983,0.09814235,1.082876,0.8297556,0.01740783
sa26,0.6128752,0.7491803,0.2489936,0.9371144,0.811794,0.02921651
sa21,0.2590301,0.5882353,0.05823621,0.8665913,0.7447819,0.002837593
sa06,0.3451045,0.7549296,0.09587156,0.7809945,0.9850524,0.007387149
sa16,0.1012715,0.7741497,0.03529601,1.247065,0.9799493,0.007062223
sa12,0.975423,0.8681592,0.185564,1.192152,0.9154727,0.03506489
sa01,0.6278746,0.7810945,0.1480266,0.9949019,0.8088655,0.0180593
sa26,0.5153311,0.7011364,0.1268271,0.8941195,0.8299041,0.03189893
sa21,0.6858437,0.8138787,0.152259,1.152132,0.7694877,0.002799609
sa06,0.7929605,0.8611111,0.06984227,0.9443943,0.9821271,0.007057392
sa16,0.7896556,0.9557292,0.111109,0.5983066,0.9853393,0.006492676
sa12,0.9640877,0.8674948,0.1458304,1.260533,0.9283279,0.03532324
sa01,0.4682508,0.7607843,0.1389443,1.035984,0.7926214,0.01602965
sa21,0.5071963,0.6204986,0.0633866,0.7680584,0.6428596,0.001108801
sa26,0.5664421,0.6713542,0.162005,1.039999,0.8154331,0.02992964
sa06,0.5654327,0.8686869,0.1179192,1.03365,0.9757496,0.006983071
sa16,0.6156249,0.8072917,0.03946206,1.007558,0.9829899,0.006420809
sa12,0.9726292,0.8333333,0.2474195,1.21402,0.9255084,0.03535412
sa21,0.4261567,0.7150772,0.1349406,0.8097556,0.7800387,0.003695336
sa01,0.6605957,0.8492958,0.1190452,1.017615,0.8200424,0.01862627
sa26,0.442355,0.7509997,0.1930532,1.245823,0.8062001,0.03135358
sa06,0.4566519,0.8285714,0.1380245,0.6916115,0.982586,0.007104437
sa16,0.6575856,0.9215229,0.1153823,0.8661392,0.9824463,0.006211997
sa21,0.8477559,0.7743566,0.118238,1.083036,0.6729993,0.002346847
sa12,0.9758765,0.8360097,0.1546362,1.322562,0.9179949,0.03555969
sa01,0.4928454,0.7323601,0.07212651,1.096618,0.8435134,0.01805763
sa06,0.60955,0.8276256,0.09090711,0.5947353,0.9874555,0.007244541
sa26,0.5101619,0.6829545,0.1046575,1.023881,0.8255923,0.0322142
sa16,0.458773,0.8523699,0.09056057,0.9069203,0.9821521,0.007268448
sa21,0.7206849,0.7546584,0.1315767,1.252051,0.7144837,0.002293674
sa12,0.9700786,0.9000829,0.185564,1.357324,0.9033199,0.03435708
sa01,0.5945538,0.8307292,0.09090656,0.7996754,0.8204127,0.01755057
sa06,0.7307772,0.8922535,0.1098874,1.167515,0.9864109,0.006969455
sa16,0.4203689,0.9383562,0.07316842,1.41317,0.9813005,0.006035645
sa26,0.5777633,0.7239583,0.2017632,1.08352,0.8109998,0.03062835
sa21,0.7823628,0.775,0.120829,1.028587,0.7410002,0.003869466
sa06,0.6894713,0.8811189,0.1124977,1.162833,0.9714751,0.006281225
sa01,0.7169302,0.7572464,0.1360087,0.7542981,0.8094996,0.0176731
sa17,0.7305331,0.8478401,0.1243259,0.8133024,0.9795482,0.00782272
sa21,0.4543498,0.7796804,0.04668764,1.073162,0.7675002,0.003109401
sa26,0.7066894,0.8005464,0.3068157,1.176465,0.8178794,0.03312939
sa06,0.6469701,0.875,0.06507271,1.066039,0.9868568,0.006319535
sa01,0.3076776,0.6851134,0.07082212,1.028766,0.8019253,0.01740425
sa21,0.2970471,0.7052239,0.118277,0.9417911,0.6396651,0.001882589
sa17,0.6433021,0.8571429,0.120829,1.076085,0.9774825,0.008101186
sa26,0.6332503,0.7884115,0.2029576,1.036926,0.8396657,0.03372266
sa06,0.8152433,0.8003108,0.09056057,0.8899118,0.9810429,0.007228162
sa01,0.5765601,0.7719978,0.1243809,0.8518857,0.8078836,0.01909564
sa21,0.6831612,0.7225352,0.07740133,0.5930657,0.7293138,0.001758531
sa17,0.6845116,0.8288732,0.1292593,0.9334279,0.9938513,0.009426582
sa26,0.6684618,0.6874237,0.1416066,0.9239358,0.8294463,0.03443575
sa06,0.5830711,0.8312925,0.05340319,0.7235057,0.9887174,0.006758269
sa21,0.38814,0.7928571,0.09428815,1.457268,0.8620993,0.004804481
