Species,corMxPA,AUC,TSS,beta,AUC.CV,TSS.CV
sa05,0.9172691,0.859589,0.08333126,0.6713523,0.9899831,0.0140307
sa25,0.6628653,0.8368056,0.08177196,1.180457,0.9950932,0.01348855
sa11,0.8534376,0.7820946,0.02701096,0.7734039,0.9066488,0.006580183
sa30,0.8855203,0.8738916,0.07864914,2.747425,0.6970015,0.01082489
sa20,0.8621701,0.9394977,0.07594714,1.168309,0.8353929,0.00949511
sa15,0.8626965,0.7035714,0.08749791,1.030044,0.7756657,0.01090042
sa05,0.8010214,0.8374384,0.08860534,0.5292131,0.9853314,0.01210518
sa25,0.1359538,0.4037162,-0.02562963,0.5984155,0.9842937,0.01293126
sa30,0.9165138,0.8758621,0.08433499,2.98315,0.6276957,0.009948589
sa11,0.8322233,0.8489583,0.08988507,0.4885188,0.898142,0.005607212
sa20,0.9218773,0.8937465,0.1585341,1.523363,0.8099917,0.008206641
sa15,0.4920661,0.6796875,0.08174572,0.8423157,0.7742969,0.0106145
sa05,0.8490097,0.7864583,0.08472014,0.6267388,0.9888139,0.01475759
sa25,-0.2232597,0.4513889,-0.02007405,0.7444168,0.9956466,0.01466942
sa30,0.9850419,0.8995074,0.08974136,5.091363,0.611809,0.009041493
sa11,0.5981087,0.828169,0.08246496,1.132954,0.8329104,0.005434346
sa20,0.7742948,0.8954068,0.1340613,0.8715033,0.8658499,0.009878249
sa15,NA,0.5414079,-0.007004636,0.9664588,0.7054518,0.009835056
sa05,0.7163887,0.8585069,0.1025618,0.8695125,0.9652133,0.01309884
sa25,0.6205188,0.7847708,0.1058799,0.728455,0.9922104,0.01537053
sa30,0.9257119,0.8689655,0.0813929,2.872407,0.6311886,0.01143492
sa11,0.7287583,0.8647887,0.09393861,0.6025197,0.9212321,0.004879115
sa20,0.8953416,0.9250919,0.2077898,1.206794,0.8808033,0.01051032
sa15,0.7339105,0.7119221,0.1141436,1.115813,0.7522521,0.009284893
sa05,0.8955508,0.8007042,0.1087989,0.991858,0.9739866,0.0141291
sa25,0.336869,0.6511267,0.02730866,0.7925767,0.9932693,0.0152237
sa30,0.9591233,0.9458128,0.08333095,4.483413,0.6222821,0.008595624
sa11,0.5443011,0.8903803,0.03749782,0.7620201,0.916697,0.005779567
sa20,0.7914666,0.8958819,0.1216194,1.242192,0.8739482,0.01001749
sa15,0.75424,0.8252723,0.1770594,0.9472951,0.7790163,0.01112589
sa05,0.9433512,0.9047619,0.07142656,0.7385907,0.9896899,0.01549797
sa30,0.9641401,0.9192118,0.08641745,2.95333,0.7121006,0.01153769
sa25,0.4544387,0.7508681,0.0583313,0.973188,0.9937656,0.0159056
sa11,0.3855337,0.9041096,0.07594714,0.7651218,0.8421467,0.005474581
sa20,0.7831814,0.9292517,0.06493291,1.094797,0.8882971,0.01033923
sa15,0.6349106,0.6152505,0.03947161,0.9567821,0.7873311,0.01156536
sa05,0.9210781,0.8407479,0.1486464,1.033389,0.97119,0.01192564
sa30,0.9204803,0.8512315,0.08860534,1.743445,0.7099083,0.01189432
sa11,0.6663059,0.8108844,0.03947161,1.320406,0.8456459,0.004993064
sa25,0.7826423,0.7140845,0.07221998,0.8750549,0.9882723,0.01412387
sa20,0.907402,0.9490651,0.1294093,0.9400786,0.8861141,0.009398731
sa15,0.5547658,0.6764813,0.1349227,0.9364268,0.8042156,0.01215944
sa05,0.9028944,0.9000645,0.1184188,0.8057833,0.9821503,0.01489549
sa30,0.9194661,0.8738916,0.05053511,2.817623,0.6862538,0.01141502
sa11,0.4885754,0.9192118,0.09999793,1.225066,0.9132506,0.005999184
sa25,0.6822487,0.7648402,0.04574593,1.317691,0.9907921,0.01289476
sa20,0.7243457,0.8202381,0.1402756,1.190045,0.8642192,0.01036277
sa15,0.6031675,0.5810736,0.03151069,1.066061,0.7399079,0.01033879
sa30,0.8570508,0.9280788,0.0813929,4.693446,0.6432896,0.009644067
sa05,0.8809075,0.8584507,0.1124979,0.8840407,0.9766024,0.01384852
sa11,0.5907536,0.8049728,0.08756494,0.9224184,0.9180356,0.006448413
sa25,0.4843235,0.7743842,0.0419245,0.9983842,0.9968178,0.01386394
sa20,0.7885056,0.9392361,0.1095869,1.011909,0.8727766,0.009168168
sa15,0.8403428,0.8431677,0.1707507,0.9108018,0.6603137,0.006281076
sa30,0.9865901,0.8719212,0.08536352,2.807435,0.674526,0.01089721
sa05,0.9058407,0.8647887,0.1369841,0.7183722,0.9856352,0.01280151
sa11,0.7949399,0.9497537,0.09333117,0.7963139,0.8715788,0.005131225
sa25,0.8276715,0.8098001,0.1184188,0.8690642,0.9942795,0.01415131
sa20,0.8907332,0.8834499,0.1124977,1.01341,0.8790766,0.01068386
sa15,0.7215019,0.6660219,0.09090713,1.041217,0.76097,0.009742071
sa30,0.9249711,0.8413793,0.0813929,2.676442,0.6943881,0.01092473
sa11,0.6438704,0.9442568,0.05405199,0.8760057,0.8896102,0.005593826
sa05,0.9104634,0.8723404,0.1447346,1.123156,0.9746403,0.01152707
sa25,0.635663,0.8323944,0.1249977,0.8392675,0.9844841,0.01278581
sa20,0.7650478,0.8542254,0.1123569,1.104612,0.8602112,0.009669992
sa15,0.6596177,0.7044513,0.07019181,1.18549,0.7490152,0.009470053
sa30,0.9064904,0.8256158,0.07864914,2.106711,0.6626386,0.01108328
sa11,0.7007174,0.6464646,-0.005392248,0.7713438,0.919096,0.005905415
sa05,0.9392723,0.8539239,0.1184188,0.652831,0.9838803,0.01639121
sa20,0.7816289,0.8549323,0.1341439,0.9920917,0.8512779,0.01019586
sa25,0.6900542,0.8049728,0.1111088,1.297937,0.9789873,0.01438948
sa15,0.9009411,0.770891,0.1618627,0.8179809,0.7283738,0.007976099
sa30,0.9159335,0.8453202,0.07954294,2.309845,0.6747045,0.01108557
sa11,0.7179783,0.8913043,0.1244992,0.9669129,0.8940383,0.005868633
sa05,0.9338171,0.8211806,0.08472014,0.865075,0.9913486,0.01467693
sa20,0.9319619,0.9192708,0.1038939,1.383659,0.8135049,0.008186251
sa25,0.8673491,0.8679099,0.1139217,1.095356,0.9903931,0.01298351
sa15,0.569851,0.7077381,0.091984,1.162827,0.7042131,0.007864145
sa30,0.9428723,0.8955665,0.08235053,4.539421,0.6209173,0.01125133
sa11,0.4244934,0.7994792,0.06742519,0.598171,0.9462115,0.00546417
sa05,0.9335366,0.8225352,0.1408429,0.6776707,0.9879509,0.01594794
sa20,0.787272,0.9020979,0.1168809,1.153534,0.8482801,0.009982186
sa25,0.8239789,0.8884354,0.06666456,0.7514203,0.9812237,0.01425549
sa15,0.6437383,0.6586758,0.0361702,0.944563,0.7793966,0.01007885
sa30,0.9098569,0.9123153,0.08235053,3.759569,0.7424913,0.01221938
sa11,0.5773011,0.8648019,0.1199978,0.8116245,0.9278076,0.005833922
sa05,0.8285641,0.9546798,0.09210308,0.9245011,0.9812772,0.01417564
sa20,0.6543871,0.9065476,0.1481457,1.001882,0.920324,0.01142079
sa25,0.70736,0.7888514,0.02843568,1.534525,0.9936207,0.01345956
sa15,0.5169887,0.7095588,0.1184214,0.8875728,0.8012585,0.0130686
sa30,0.92932,0.8413793,0.07954294,1.967593,0.7032143,0.01013763
sa11,0.3343254,0.6358447,0.03249905,0.3078892,0.9241283,0.005686772
sa05,0.8223854,0.8675799,0.07999786,0.7978632,0.9765713,0.01258739
sa20,0.4942199,0.7708333,0.06984227,0.9370842,0.8763406,0.009774991
sa25,0.7009425,0.6211268,0.03693185,1.075274,0.9923399,0.01324208
sa15,0.6570807,0.7568934,0.15546,0.9831437,0.7591599,0.01022129
sa30,0.9595357,0.9123153,0.08045729,4.190997,0.6211524,0.0115748
sa11,0.5693088,0.8188266,0.09402381,0.7680299,0.9119056,0.006548383
sa05,0.6688065,0.8297872,0.1447346,0.6388201,0.9802172,0.01284889
sa20,0.8293717,0.8529762,0.1275098,0.9888079,0.9245024,0.01111716
sa25,0.4886996,0.7919203,0.1076311,0.8858717,0.9894019,0.01455579
sa15,0.5392431,0.6865672,0.138828,1.039295,0.7796806,0.01067658
sa30,0.9172373,0.9507389,0.0813929,5.929881,0.7312696,0.01119194
sa11,0.7591248,0.8577465,0.09702428,0.6596,0.9305449,0.004818093
sa05,0.9447469,0.9097222,0.1126739,0.9454889,0.9846569,0.01445024
sa20,0.8429778,0.8593629,0.07786931,1.185378,0.8252194,0.008751462
sa25,0.5623048,0.6605634,0.07386634,1.042744,0.9968222,0.01383952
sa15,0.7577696,0.8304228,0.1726392,1.127263,0.6768644,0.007417376
sa30,0.9363142,0.8669951,0.08235053,2.775366,0.6805599,0.01254377
sa11,0.5888716,0.9440716,0.04166468,0.8543094,0.9307068,0.005430013
sa05,0.8301503,0.8707483,0.06756548,0.8798786,0.9711481,0.01327928
sa20,0.6625915,0.8491296,0.1184188,0.9911772,0.8541667,0.01045258
sa25,0.2044215,0.5901826,0.04298565,0.500052,0.9932894,0.01328804
sa15,0.1154707,0.6506211,0.0809883,1.050856,0.6938213,0.008472357
sa30,0.9501718,0.8650246,0.08433499,2.026389,0.6534781,0.01138272
sa11,0.6744106,0.8680272,0.03861262,0.9681883,0.8965942,0.00642711
sa20,0.8438145,0.9116699,0.1294093,1.223435,0.8559134,0.008434685
sa05,0.7751277,0.8585859,0.1216194,0.8597681,0.9862221,0.01479427
sa25,0.6910681,0.7612676,0.09860882,0.8184962,0.9961029,0.01472875
sa30,0.9173806,0.8285714,0.07692046,2.088709,0.663911,0.01135101
sa15,0.5891951,0.6540146,0.1141436,0.9420595,0.7038376,0.008436088
sa11,0.8170901,0.8593629,0.1046487,0.5257891,0.9000551,0.006281224
sa20,0.7227239,0.8858447,0.05474499,1.037132,0.8813243,0.009835745
sa05,0.8729239,0.84375,0.1126739,0.8364514,0.9814013,0.01393369
sa30,0.8960001,0.8197044,0.0556605,1.474619,0.6837104,0.0112578
sa25,0.3609418,0.7819635,0.04959033,1.372571,0.9832074,0.01391689
sa15,0.6529288,0.7581509,0.1500324,1.06418,0.701602,0.007245211
sa11,0.5745283,0.8463542,0.1142836,1.028808,0.8752259,0.006436758
sa21,0.6732638,0.6475184,0.04438834,0.6409173,0.7953387,0.003445257
sa05,0.6897245,0.7454338,0.05474499,0.4827407,0.9898086,0.01385177
sa30,0.9619695,0.8472906,0.05357848,1.816793,0.6884535,0.01101726
sa15,0.6484694,0.6598592,0.05440277,0.9768426,0.8176821,0.01367765
sa25,0.4560582,0.7382334,0.1222196,0.71221,0.997097,0.01374891
sa11,0.8290085,0.9307432,0.04877823,0.8367998,0.8974513,0.006051281
sa21,0.7315728,0.7571429,0.1184648,0.8721745,0.8028537,0.00437289
sa05,0.893805,0.9155251,0.08218969,0.910738,0.9820428,0.01342119
sa30,0.90424,0.9300493,0.0813929,5.589803,0.6144433,0.007597782
sa16,0.3446358,0.8965986,0.05813713,1.354757,0.9819359,0.006577064
sa25,0.2189477,0.8040541,0.05555354,1.064104,0.9864994,0.01464699
sa11,0.3380296,0.7899543,0.02527931,0.8670631,0.8507489,0.004520329
sa21,0.6842492,0.8754842,0.1592312,0.8692052,0.8114044,0.004036661
sa05,0.8581154,0.8975694,0.1038939,0.6698566,0.9931707,0.01556714
sa30,0.9373813,0.929064,0.07446534,4.893014,0.6668022,0.01079515
sa16,0.5101314,0.8723958,0.09755862,1.228764,0.9794598,0.006157046
sa25,0.6052733,0.8408451,0.0806905,0.9925593,0.9964701,0.01396224
sa21,0.2642076,0.6568899,0.04629587,0.9029554,0.8016713,0.003949482
sa05,0.8530117,0.88867,0.09722012,0.7896011,0.9732623,0.01352427
sa30,0.936783,0.8423645,0.08045729,2.011517,0.6629166,0.01099875
sa16,0.4437454,0.9355089,0.1323508,1.053033,0.9805126,0.006302247
sa25,0.6879249,0.8439402,0.1055726,1.377384,0.9948705,0.01344668
sa21,0.7681411,0.7970238,0.1380245,0.8125871,0.8185531,0.004304287
sa30,0.9103664,0.8630542,0.08860534,2.496251,0.7192338,0.01168671
sa05,0.8489784,0.9794521,0.0869545,1.198811,0.9670057,0.01392781
sa16,0.5795779,0.9507042,0.1587281,1.46882,0.9790577,0.006434795
sa25,0.4044112,0.7773973,0.05807485,0.8775068,0.9867623,0.01681881
sa21,0.3505949,0.6906318,0.1154956,0.9324792,0.7059176,0.002671942
sa30,0.9554715,0.9428571,0.08536352,4.581498,0.661052,0.01155787
sa05,0.7576805,0.907483,0.07042051,0.7306593,0.9775523,0.01410493
sa16,0.6046094,0.946798,0.08333095,1.238955,0.9843655,0.007685056
sa25,0.5778996,0.8732394,0.1176446,1.266596,0.9912482,0.01597215
sa21,0.76499,0.8363095,0.1558418,0.9108683,0.770719,0.00428535
sa30,0.933024,0.920197,0.08045729,4.489388,0.663374,0.01048864
sa05,0.7688216,0.8527397,0.0779199,0.6848269,0.9761017,0.01136142
sa16,0.2575905,0.7034014,0.03291088,1.160045,0.9774004,0.005849554
sa25,NA,0.7195946,0.03300954,0.7322634,0.9904021,0.01446943
sa21,0.7082195,0.7529762,0.1032012,0.9005361,0.8443025,0.00416395
sa05,0.9145914,0.8834459,0.05796906,0.8235101,0.9905977,0.01652966
sa16,0.5709946,0.9743842,0.0813929,1.370432,0.9806925,0.008040651
sa21,0.814753,0.8126362,0.1846569,1.069111,NaN,0.003806761
sa25,0.7041373,0.8196347,0.07999786,1.073386,0.9723632,0.01384125
sa05,0.7746328,0.8827586,0.09858946,0.6458748,0.9922975,0.01624745
sa16,0.4926333,0.8484848,0.08327294,1.458702,0.9810121,0.006772096
sa21,0.5615981,0.6972883,0.09210308,0.7709828,0.6441584,0.0005069503
sa25,0.6454839,0.7415541,0.04597459,1.071066,0.9947824,0.01304896
sa05,0.951812,0.8443662,0.1449254,0.9358307,0.979544,0.01420336
sa16,0.5868226,0.7980296,0.05672036,0.8337858,0.9799772,0.006947286
sa21,0.7041751,0.6609731,0.05262947,0.8279752,0.763333,0.003234372
sa25,0.716972,0.8108844,0.06756548,1.259779,0.9780909,0.01543958
sa05,0.7555268,0.7360179,0.0428552,0.7900969,0.9908013,0.0144985
sa16,0.7955065,0.8852113,0.1408429,1.118676,0.9803083,0.006160232
sa21,0.7273608,0.7001934,0.09349403,0.6435637,0.7550608,0.003153427
sa26,0.7912938,0.6986979,0.2438313,1.011128,0.8155414,0.02931348
sa05,0.8669203,0.9280822,0.08571225,0.7544987,0.9856202,0.01452538
sa16,0.6336866,0.890411,0.08571225,0.6771598,0.9871679,0.007256612
sa21,0.4874436,0.7863747,0.1500324,0.8254999,0.8025635,0.003429349
sa26,0.5952674,0.7463713,0.2990171,1.158656,0.8254484,0.03249655
sa05,0.8013056,0.9831081,0.0512799,1.133074,0.9734825,0.0133243
sa16,0.4025622,0.7918367,0.03947161,1.481193,0.9818879,0.006135132
sa21,0.2706234,0.8026418,0.08467863,1.009508,0.8320026,0.004392079
sa26,0.7740073,0.7807682,0.20796,1.011452,0.8279273,0.033125
sa16,0.247427,0.722449,0.05681571,0.5836548,0.9845496,0.006350231
sa05,0.8033058,0.7795139,0.08780283,1.009679,0.9787019,0.01397637
sa21,0.5650095,0.7840103,0.1184188,1.018258,0.7618938,0.003551754
sa16,0.6709225,0.8628472,0.08472014,1.211572,0.9848322,0.008031663
sa26,0.5119411,0.6828671,0.1641556,1.12062,0.7968903,0.02666074
sa05,0.8316583,0.8463054,0.09459245,0.6466378,0.9817775,0.01411119
sa21,0.77697,0.8732143,0.1425817,0.5757391,0.8526218,0.003733074
sa16,0.5590214,0.9782313,0.0694424,1.475342,0.9829753,0.006781088
sa05,0.9643113,0.8984018,0.08107897,0.9646527,0.9776818,0.01395733
sa26,0.02599342,0.5382677,0.003874105,0.8988963,0.8447952,0.03365947
sa21,0.645328,0.6832117,0.06839615,0.7818339,0.8015143,0.004395588
sa16,0.3975787,0.8984375,0.1126739,1.378907,0.9802674,0.006719983
sa05,0.9296562,0.8906404,0.09588829,0.9619584,0.9692153,0.01411852
sa26,0.6188638,0.7024476,0.1638633,0.9564323,0.8145283,0.02972164
sa16,0.3573916,0.8602431,0.08472014,1.252945,0.9830643,0.005757059
sa05,0.7703291,0.7793318,0.09692869,0.871906,0.9809185,0.01324448
sa26,0.3525653,0.636333,0.08948662,0.8769003,0.8322056,0.03143771
sa16,0.5437419,0.8376736,0.07490674,1.332545,0.979193,0.006553003
sa05,0.7991395,0.8423645,0.09588829,1.233982,0.961008,0.01326869
sa26,0.4055382,0.7099609,0.193275,1.12383,0.8108374,0.03111164
sa16,0.5867159,0.808867,0.07927923,1.453758,0.9814375,0.006629316
sa26,0.2214363,0.607874,0.1062315,0.7317868,0.8611218,0.03674404
sa16,0.6127082,0.9597315,0.03947161,1.058097,0.9835701,0.007537104
sa16,0.4317612,0.7990148,0.07927923,1.592888,0.9759472,0.00624194
sa16,0.5134335,0.8612676,0.1123569,0.8192132,0.9806959,0.007499398
sa16,0.5436088,0.9348958,0.1142836,1.593185,0.9771142,0.007410697
sa16,0.09496298,0.7517361,0.06931726,0.956093,0.9797931,0.005910981
sa16,0.706343,0.9310345,0.08749772,1.283641,0.9784325,0.005967917
swi05,0.7518034,0.8936575,0.006645004,2.595212,0.7448978,0.01227235
swi26,0.8529086,0.9359001,0.003584157,0.4458027,0.9798045,0.02129375
swi21,0.9894057,0.7952421,0.02911479,0.9840443,0.8243646,0.06693922
swi16,0.9658572,0.8805467,0.07641616,2.3323,0.7794965,0.110109
swi11,0.9459395,0.8434619,0.01571611,1.312161,0.8834546,0.1215501
swi01,0.805486,0.7814192,0.01629365,1.104022,0.8837241,0.08236939
swi26,0.7867637,0.9452145,0.003813264,0.4594341,0.9795213,0.02290762
swi21,0.9064226,0.7835489,0.0331255,1.075493,0.8082234,0.06438824
swi16,0.9495717,0.8578139,0.07302164,2.208422,0.7777079,0.1093491
swi11,0.9348666,0.8521191,0.01557145,1.320191,0.8938194,0.1233089
swi01,0.8492553,0.7936938,0.01670925,1.266089,0.8617803,0.07929389
swi06,0.984077,0.8291414,0.4221162,1.806685,0.8761749,0.4801463
swi26,0.8615158,0.9009507,0.003648687,0.4738357,0.9789639,0.02248521
swi21,0.9529789,0.7668835,0.03153279,1.186805,0.8051324,0.06147014
swi16,0.9759627,0.8729452,0.07745417,2.209226,0.7895647,0.1134594
swi11,0.9533243,0.8546193,0.01862031,1.315266,0.8900149,0.1260968
swi01,0.8412301,0.8100904,0.01823845,1.247803,0.8737192,0.08229188
swi26,0.8562595,0.9396876,0.003014223,0.5164383,0.9838833,0.02457141
swi21,0.8920204,0.7618575,0.02817554,1.102613,0.8227948,0.06443567
swi16,0.9482978,0.863946,0.07137358,2.023433,0.7879055,0.1122443
swi11,0.9288541,0.8371003,0.01999538,1.301335,0.8858443,0.1178207
swi01,0.8402207,0.828904,0.02158317,1.112599,0.8906051,0.08421768
swi26,0.9285559,0.9403585,0.003351025,0.4621221,0.97952,0.02170709
swi06,0.9819892,0.8407224,0.4374433,1.817517,0.876073,0.4829326
swi21,0.9720842,0.7979299,0.03790393,1.11737,0.8116803,0.06340413
swi16,0.953968,0.8511778,0.07189814,2.148749,0.7833341,0.1081723
swi11,0.980868,0.8518451,0.01785455,1.311575,0.8961287,0.1225681
swi26,0.8182013,0.8930107,0.00281491,0.4887324,0.9799837,0.02502042
swi01,0.8984353,0.7990907,0.015442,1.047385,0.8864911,0.08583811
swi21,0.9806623,0.7699921,0.02806359,0.9894036,0.8431448,0.06767403
swi16,0.9735924,0.875121,0.07449944,2.198815,0.7843898,0.1104231
swi11,0.9624341,0.8484658,0.01472937,1.249151,0.8922732,0.1219568
swi26,0.9589154,0.9426032,0.005651149,0.5538067,0.981912,0.02196091
swi06,0.9740974,0.8364615,0.4274578,1.820886,0.8792853,0.4898198
swi21,0.9499292,0.7774527,0.0330608,1.090961,0.8159995,0.06499612
swi01,0.8796518,0.8072081,0.01610487,1.231112,0.8717834,0.08177868
swi16,0.9776434,0.8758968,0.08009329,2.145319,0.7940405,0.1100928
swi26,0.8780169,0.9317386,0.004410354,0.4923047,0.9787581,0.02633033
swi11,0.955876,0.840183,0.01815562,1.358936,0.8806489,0.1234515
swi21,0.9753076,0.786621,0.03435027,1.139689,0.8180318,0.06582467
swi01,0.9173455,0.8229851,0.01785258,1.027012,0.8917647,0.08314335
swi16,0.971907,0.8692764,0.07559308,2.312152,0.7751909,0.1109144
swi26,0.9574267,0.9314662,0.004621119,0.4647028,0.9818019,0.02307253
swi06,0.9725887,0.8387472,0.4342282,1.806439,0.8789513,0.4898784
swi11,0.9739461,0.8880203,0.01811037,1.31303,0.8831944,0.1249495
swi21,0.9665741,0.7999583,0.03390763,1.066702,0.8171829,0.06337097
swi01,0.9165328,0.8352618,0.01754284,1.138726,0.8740572,0.08011169
swi16,0.9780368,0.8690559,0.0788545,2.202898,0.7800741,0.1112967
swi26,0.9103319,0.9432171,0.004718896,0.4314815,0.9817438,0.02064194
swi11,0.9438091,0.8449572,0.01953111,1.325639,0.8868555,0.1228637
swi21,0.9730319,0.7547444,0.03104803,1.151249,0.8030104,0.06295449
swi16,0.9529126,0.8657178,0.0688961,2.331562,0.7792919,0.1095702
swi01,0.8397341,0.814267,0.01757723,1.074464,0.8822198,0.08222691
swi26,0.9564717,0.9161525,0.00349308,0.5920343,0.9766438,0.02502514
swi06,0.9704224,0.8405917,0.4426193,1.791541,0.8793853,0.4878142
swi21,0.9789359,0.7802195,0.03256826,1.166996,0.809361,0.06417551
swi11,0.8912765,0.8387729,0.01708178,1.235388,0.8933148,0.1239718
swi16,0.9487349,0.8575709,0.07341391,2.309805,0.7768143,0.1102037
swi26,0.8196786,0.9235846,0.002578371,0.5324269,0.9814011,0.0233103
swi01,0.8604334,0.7894072,0.01416798,1.161125,0.8775221,0.08286041
swi21,0.9821709,0.7870689,0.03570957,1.11905,0.8154419,0.06449396
swi11,0.9527402,0.8695854,0.02123261,1.309381,0.8959946,0.1230127
swi16,0.9556774,0.867145,0.07463943,2.248604,0.7812733,0.1032789
swi26,0.8681897,0.92634,0.00379268,0.428042,0.9818601,0.02214653
swi01,0.8427836,0.8513166,0.0172006,1.086665,0.8833093,0.08476574
swi06,0.9791617,0.8362142,0.4291187,1.838485,0.8790572,0.4913094
swi21,0.9760808,0.7944136,0.03677484,1.09988,0.8166958,0.06487927
swi11,0.9482708,0.8785685,0.01900018,1.331241,0.8925492,0.1201231
swi26,0.6678139,0.9076785,0.003775107,0.4561459,0.9789139,0.02292888
swi16,0.9747531,0.8774188,0.07702405,2.197469,0.7703075,0.1124368
swi01,0.7672171,0.8480585,0.01923597,1.072758,0.8864601,0.0824353
swi21,0.9703783,0.8083131,0.03160313,1.118621,0.8128158,0.0636922
swi11,0.9425518,0.858656,0.01712629,1.259643,0.8943715,0.1292315
swi26,0.8428767,0.9225358,0.003993997,0.5108842,0.9754036,0.0208716
swi16,0.9707186,0.8666497,0.07520203,2.326134,0.76759,0.1093362
swi06,0.9824539,0.8348969,0.4235326,1.799754,0.8803974,0.4916517
swi21,0.980963,0.8014481,0.03054695,1.083302,0.8127893,0.06550677
swi01,0.8314827,0.789234,0.01292952,1.222336,0.874099,0.08149845
swi26,0.9333512,0.9425948,0.004564189,0.4918166,0.9809845,0.02190006
swi11,0.9240414,0.8407305,0.01738707,1.322687,0.8891625,0.1223474
swi16,0.9712197,0.8642667,0.07414424,2.108418,0.7793206,0.1089525
swi21,0.9548332,0.7564341,0.02830247,1.04844,0.8229422,0.06274103
swi01,0.8833094,0.8328501,0.0175326,1.268681,0.8697082,0.0817623
swi26,0.8694417,0.9376375,0.003242143,0.5661656,0.9760631,0.02163544
swi11,0.8999771,0.8353044,0.01605423,1.261644,0.8946464,0.1245518
swi16,0.9743463,0.8739832,0.06996559,2.281551,0.7763534,0.1083536
swi06,0.9757691,0.8320636,0.4183277,1.798453,0.8779414,0.4863996
swi21,0.9204444,0.7805914,0.03596241,1.029758,0.8285769,0.06859638
swi01,0.8826,0.8319552,0.01459173,1.079936,0.8763366,0.08073842
swi26,0.8734923,0.8971085,0.005267576,0.4263879,0.9820053,0.02371234
swi16,0.9617611,0.8709936,0.07413356,2.268821,0.7658902,0.1073733
swi11,0.9318166,0.8611577,0.02138322,1.2985,0.8899116,0.1228582
swi21,0.9807124,0.7959433,0.03466236,1.088143,0.8235819,0.06420797
swi26,0.7602912,0.9060242,0.004140562,0.5603052,0.9769159,0.02385256
swi01,0.8906433,0.7966898,0.01756805,1.08254,0.8747288,0.08275523
swi16,0.9680436,0.8717033,0.07293469,2.181207,0.7833899,0.1149839
swi06,0.9700131,0.8308682,0.4211952,1.827943,0.880196,0.4848062
swi11,0.9746768,0.8334081,0.01791886,1.320441,0.879986,0.121906
swi21,0.9567052,0.7771446,0.03314746,1.049601,0.8150677,0.06391003
swi26,0.9616507,0.9280847,0.003178266,0.521682,0.9811694,0.02585742
swi01,0.8606677,0.8248298,0.01750208,1.206079,0.8788952,0.08242958
swi16,0.9576318,0.8590665,0.06376507,2.215339,0.7803757,0.1108925
swi11,0.9523607,0.8822677,0.01926962,1.279127,0.888893,0.1221835
swi21,0.9700706,0.7515412,0.0308946,1.040892,0.8240198,0.06471088
swi26,0.8923833,0.9203387,0.003405497,0.5111245,0.9761507,0.02032689
swi06,0.9760356,0.8354807,0.4350551,1.8216,0.8766258,0.4841655
swi01,0.8793442,0.8156976,0.01722705,1.136195,0.8757278,0.08010234
swi16,0.9588511,0.8550625,0.07051336,2.174066,0.7751848,0.1130157
swi21,0.9958073,0.7992669,0.02995209,1.057867,0.8261983,0.0662739
swi11,0.9679754,0.864395,0.02058105,1.368009,0.8904982,0.1240522
swi26,0.8924476,0.9546802,0.003278076,0.7253149,0.9745631,0.02009667
swi16,0.9623826,0.8655429,0.07085906,1.977838,0.7830213,0.1110379
swi01,0.9118013,0.8086429,0.01935284,1.178643,0.8786379,0.08231733
swi21,0.9846397,0.7780319,0.03026009,1.017251,0.8250534,0.06379892
swi11,0.9634521,0.8626289,0.01891938,1.315463,0.8895775,0.1241057
swi26,0.8840907,0.9112909,0.004177089,0.6350638,0.9754572,0.02031684
swi06,0.9843657,0.8410552,0.4523826,1.803614,0.8753694,0.4835772
swi16,0.9770295,0.8685491,0.0730518,2.297693,0.7745561,0.1100121
swi21,0.9939684,0.7877621,0.03178006,1.12699,0.8105966,0.06365592
swi26,0.9147307,0.9368158,0.004063893,0.5338847,0.9827208,0.02538062
swi01,0.8578258,0.834975,0.01794247,1.128008,0.8800941,0.08220078
swi11,0.9669727,0.8693233,0.02083355,1.370193,0.880767,0.1182499
swi16,0.9389387,0.8631531,0.07158544,2.204188,0.7743877,0.1064583
swi21,0.9596056,0.7814222,0.03670547,1.062312,0.8222671,0.06561493
swi26,0.8902289,0.9305664,0.004049883,0.5187063,0.9772677,0.02251918
swi01,0.8278578,0.7967837,0.01580218,1.113365,0.8687989,0.08058326
swi11,0.9295967,0.8367043,0.01866535,1.270368,0.893098,0.1253152
swi06,0.9703803,0.8351009,0.4276917,1.828066,0.8772855,0.4975862
swi16,0.9651598,0.8812126,0.0743209,2.11168,0.780683,0.1116924
swi21,0.9686597,0.7991248,0.04048227,1.040454,0.8204429,0.06717517
swi26,0.7634536,0.9457,0.002598518,0.4208601,0.9822612,0.02206723
swi01,0.9002793,0.8214201,0.01804743,1.04437,0.8829155,0.08296648
swi11,0.9494355,0.8579735,0.01861989,1.31133,0.8897448,0.1208782
swi26,0.9311242,0.9086424,0.004508989,0.6488129,0.9762052,0.0205178
swi16,0.9523601,0.8575738,0.0641171,1.990194,0.7804493,0.1114763
swi21,0.9737409,0.7899404,0.03220262,1.030936,0.8351799,0.06785126
swi11,0.9734137,0.8505658,0.01832408,1.323069,0.8939715,0.1218259
swi01,0.8455498,0.7791932,0.01835254,1.115909,0.8722091,0.07979404
swi06,0.9767484,0.8358549,0.4348845,1.777863,0.8838969,0.498768
